Time,DC,RPM,Supply_Voltage,Current,Temp_motor,Temp_controller
0.0,41.197834,3673.0,124.0,62.0,164.791336,82.0
0.11000000000012733,41.197834,3673.0,124.0,62.0,164.791336,82.0
0.2300000000000182,41.197834,3673.0,124.0,62.0,164.791336,82.0
0.3400000000001455,41.197834,3673.0,124.0,62.0,164.791336,82.0
0.45000000000027285,41.197834,3673.0,124.0,62.0,164.791336,82.0
0.5599999999999454,41.197834,3673.0,124.0,62.0,164.791336,82.0
0.6700000000000728,41.197834,3673.0,124.0,62.0,164.791336,82.0
0.7800000000002001,41.197834,3673.0,124.0,62.0,164.791336,82.0
0.8900000000003274,41.197834,3673.0,124.0,62.0,164.791336,82.0
1.0100000000002183,41.197834,3673.0,124.0,62.0,164.791336,82.0
1.1200000000003456,41.197834,3673.0,124.0,62.0,164.791336,82.0
1.2300000000000182,41.197834,3673.0,124.0,62.0,164.791336,82.0
1.3400000000001455,41.197834,3673.0,124.0,62.0,164.791336,82.0
1.4500000000002728,41.197834,3673.0,124.0,62.0,164.791336,82.0
1.5700000000001637,41.197834,3673.0,124.0,62.0,164.791336,82.0
1.680000000000291,41.197834,3673.0,124.0,62.0,164.791336,82.0
1.7899999999999636,41.197834,3673.0,124.0,62.0,164.791336,82.0
1.900000000000091,41.197834,3673.0,124.0,62.0,164.791336,82.0
2.0100000000002183,41.197834,3673.0,124.0,62.0,164.791336,82.0
2.1200000000003456,41.197834,3673.0,124.0,62.0,164.791336,82.0
2.2400000000002365,41.197834,3673.0,124.0,62.0,164.791336,82.0
2.350000000000364,41.197834,3673.0,124.0,62.0,164.791336,82.0
2.4600000000000364,41.197834,3673.0,124.0,62.0,164.791336,82.0
2.5700000000001637,41.197834,3673.0,124.0,62.0,164.791336,82.0
2.680000000000291,41.197834,3673.0,124.0,62.0,164.791336,82.0
2.7899999999999636,41.197834,3673.0,124.0,62.0,164.791336,82.0
2.900000000000091,41.197834,3673.0,124.0,62.0,164.791336,82.0
3.019999999999982,41.197834,3673.0,124.0,62.0,164.791336,82.0
3.130000000000109,41.197834,3673.0,124.0,62.0,164.791336,82.0
3.2400000000002365,41.197834,3673.0,124.0,62.0,164.791336,82.0
3.350000000000364,41.197834,3673.0,124.0,62.0,164.791336,82.0
3.4600000000000364,41.197834,3673.0,124.0,62.0,164.791336,82.0
3.5700000000001637,41.197834,3673.0,124.0,62.0,164.791336,82.0
3.6900000000000546,41.197834,3673.0,124.0,62.0,164.791336,82.0
3.800000000000182,41.197834,3673.0,124.0,62.0,164.791336,82.0
3.9100000000003092,41.197834,3673.0,124.0,62.0,164.791336,82.0
4.019999999999982,41.197834,3673.0,124.0,62.0,164.791336,82.0
4.130000000000109,41.197834,3673.0,124.0,62.0,164.791336,82.0
4.2400000000002365,41.197834,3673.0,124.0,62.0,164.791336,82.0
4.350000000000364,41.197834,3673.0,124.0,62.0,164.791336,82.0
4.470000000000255,41.197834,3673.0,124.0,62.0,164.791336,82.0
4.580000000000382,41.197834,3673.0,124.0,62.0,164.791336,82.0
4.690000000000055,41.197834,3673.0,124.0,62.0,164.791336,82.0
4.800000000000182,41.197834,3673.0,124.0,62.0,164.791336,82.0
4.910000000000309,41.197834,3673.0,124.0,62.0,164.791336,82.0
5.0300000000002,41.197834,3673.0,124.0,62.0,164.791336,82.0
5.140000000000327,41.197834,3673.0,124.0,62.0,164.791336,82.0
5.25,41.197834,3673.0,124.0,62.0,164.791336,82.0
5.360000000000127,41.197834,3673.0,124.0,62.0,164.791336,82.0
5.470000000000255,41.197834,3673.0,124.0,62.0,164.791336,82.0
5.580000000000382,41.197834,3673.0,124.0,62.0,164.791336,82.0
5.700000000000273,41.197834,3673.0,124.0,62.0,164.791336,82.0
5.809999999999945,41.197834,3673.0,124.0,62.0,164.791336,82.0
5.920000000000073,41.197834,3673.0,124.0,62.0,164.791336,82.0
6.0300000000002,41.197834,3673.0,124.0,62.0,164.791336,82.0
6.140000000000327,41.197834,3673.0,124.0,62.0,164.791336,82.0
6.25,41.197834,3673.0,124.0,62.0,164.791336,82.0
6.360000000000127,41.197834,3673.0,124.0,62.0,164.791336,82.0
6.480000000000018,41.197834,3673.0,124.0,62.0,164.791336,82.0
6.5900000000001455,41.197834,3673.0,124.0,62.0,164.791336,82.0
6.700000000000273,41.197834,3673.0,124.0,62.0,164.791336,82.0
